,Fold,Bin Number,p_val,m_val,Error
0,0,11,0.001,24,0.0
1,0,11,0.001,25,0.0
2,0,11,0.002,24,0.0
3,0,11,0.002,25,0.0
4,0,12,0.001,24,0.023809523809523808
5,0,12,0.001,25,0.023809523809523808
6,0,12,0.002,24,0.023809523809523808
7,0,12,0.002,25,0.023809523809523808
8,1,11,0.001,24,0.0
9,1,11,0.001,25,0.0
10,1,11,0.002,24,0.0
11,1,11,0.002,25,0.0
12,1,12,0.001,24,0.023809523809523808
13,1,12,0.001,25,0.023809523809523808
14,1,12,0.002,24,0.023809523809523808
15,1,12,0.002,25,0.023809523809523808
16,2,11,0.001,24,0.0
17,2,11,0.001,25,0.0
18,2,11,0.002,24,0.0
19,2,11,0.002,25,0.0
20,2,12,0.001,24,0.023809523809523808
21,2,12,0.001,25,0.023809523809523808
22,2,12,0.002,24,0.023809523809523808
23,2,12,0.002,25,0.023809523809523808
24,3,11,0.001,24,0.0
25,3,11,0.001,25,0.0
26,3,11,0.002,24,0.0
27,3,11,0.002,25,0.0
28,3,12,0.001,24,0.047619047619047616
29,3,12,0.001,25,0.047619047619047616
30,3,12,0.002,24,0.047619047619047616
31,3,12,0.002,25,0.047619047619047616
32,4,11,0.001,24,0.0
33,4,11,0.001,25,0.0
34,4,11,0.002,24,0.0
35,4,11,0.002,25,0.0
36,4,12,0.001,24,0.023809523809523808
37,4,12,0.001,25,0.023809523809523808
38,4,12,0.002,24,0.023809523809523808
39,4,12,0.002,25,0.023809523809523808
40,5,11,0.001,24,0.0
41,5,11,0.001,25,0.0
42,5,11,0.002,24,0.0
43,5,11,0.002,25,0.0
44,5,12,0.001,24,0.023809523809523808
45,5,12,0.001,25,0.023809523809523808
46,5,12,0.002,24,0.023809523809523808
47,5,12,0.002,25,0.023809523809523808
48,6,11,0.001,24,0.023809523809523808
49,6,11,0.001,25,0.023809523809523808
50,6,11,0.002,24,0.023809523809523808
51,6,11,0.002,25,0.023809523809523808
52,6,12,0.001,24,0.023809523809523808
53,6,12,0.001,25,0.023809523809523808
54,6,12,0.002,24,0.023809523809523808
55,6,12,0.002,25,0.023809523809523808
56,7,11,0.001,24,0.023255813953488372
57,7,11,0.001,25,0.023255813953488372
58,7,11,0.002,24,0.023255813953488372
59,7,11,0.002,25,0.023255813953488372
60,7,12,0.001,24,0.0
61,7,12,0.001,25,0.0
62,7,12,0.002,24,0.0
63,7,12,0.002,25,0.0
64,8,11,0.001,24,0.0
65,8,11,0.001,25,0.0
66,8,11,0.002,24,0.0
67,8,11,0.002,25,0.0
68,8,12,0.001,24,0.0
69,8,12,0.001,25,0.0
70,8,12,0.002,24,0.0
71,8,12,0.002,25,0.0
72,9,11,0.001,24,0.0
73,9,11,0.001,25,0.0
74,9,11,0.002,24,0.0
75,9,11,0.002,25,0.0
76,9,12,0.001,24,0.0
77,9,12,0.001,25,0.0
78,9,12,0.002,24,0.0
79,9,12,0.002,25,0.0
